사고유형대분류,사고유형중분류,구분,시간대,값
차대차,기타,사고[건],16~18시,6727
차대차,기타,사고[건],18~20시,7613
차대차,기타,사고[건],20~22시,5809
차대차,기타,사고[건],22~24시,4629
차대차,기타,사망[명],00~02시,39
차대차,기타,사망[명],02~04시,21
차대차,기타,사망[명],04~06시,45
차대차,기타,사망[명],06~08시,50
차대차,기타,사망[명],08~10시,50
차대차,기타,사망[명],10~12시,58
차대차,기타,사망[명],12~14시,73
차대차,기타,사망[명],14~16시,63
차대차,기타,사망[명],16~18시,51
차대차,기타,사망[명],18~20시,66
차대차,기타,사망[명],20~22시,39
차대차,기타,사망[명],22~24시,41
차대차,기타,부상[명],00~02시,4920
차대차,기타,부상[명],02~04시,2746
차대차,기타,부상[명],04~06시,2260
차대차,기타,부상[명],06~08시,5310
차대차,기타,부상[명],08~10시,8369
차대차,기타,부상[명],10~12시,7820
차대차,기타,부상[명],12~14시,8556
차대차,기타,부상[명],14~16시,9359
차대차,기타,부상[명],16~18시,10249
차대차,기타,부상[명],18~20시,11559
차대차,기타,부상[명],20~22시,8906
차대차,기타,부상[명],22~24시,7296
차량단독,충돌,사고[건],00~02시,590
차량단독,충돌,사고[건],02~04시,530
차량단독,충돌,사고[건],04~06시,395
차량단독,충돌,사고[건],06~08시,333
차량단독,충돌,사고[건],08~10시,283
차량단독,충돌,사고[건],10~12시,225
차량단독,충돌,사고[건],12~14시,265
차량단독,충돌,사고[건],14~16시,322
차량단독,충돌,사고[건],16~18시,345
차량단독,충돌,사고[건],18~20시,300
차량단독,충돌,사고[건],20~22시,286
차량단독,충돌,사고[건],22~24시,446
차량단독,충돌,사망[명],00~02시,48
차량단독,충돌,사망[명],02~04시,64
차량단독,충돌,사망[명],04~06시,54
차량단독,충돌,사망[명],06~08시,37
차량단독,충돌,사망[명],08~10시,28
차량단독,충돌,사망[명],10~12시,22
차량단독,충돌,사망[명],12~14시,32
차량단독,충돌,사망[명],14~16시,40
차량단독,충돌,사망[명],16~18시,40
차량단독,충돌,사망[명],18~20시,27
차량단독,충돌,사망[명],20~22시,19
차량단독,충돌,사망[명],22~24시,56
차량단독,충돌,부상[명],00~02시,745
차량단독,충돌,부상[명],02~04시,647
차량단독,충돌,부상[명],04~06시,505
차량단독,충돌,부상[명],06~08시,421
차량단독,충돌,부상[명],08~10시,385
차량단독,충돌,부상[명],10~12시,331
차량단독,충돌,부상[명],12~14시,400
차량단독,충돌,부상[명],14~16시,458
차량단독,충돌,부상[명],16~18시,554
차량단독,충돌,부상[명],18~20시,398
차량단독,충돌,부상[명],20~22시,384
차량단독,충돌,부상[명],22~24시,588
차량단독,도로이탈,사고[건],00~02시,44
차량단독,도로이탈,사고[건],02~04시,36
차량단독,도로이탈,사고[건],04~06시,41
차량단독,도로이탈,사고[건],06~08시,37
차량단독,도로이탈,사고[건],08~10시,62
차량단독,도로이탈,사고[건],10~12시,68
차량단독,도로이탈,사고[건],12~14시,72
차량단독,도로이탈,사고[건],14~16시,76
차량단독,도로이탈,사고[건],16~18시,66
차량단독,도로이탈,사고[건],18~20시,72
차량단독,도로이탈,사고[건],20~22시,50
차량단독,도로이탈,사고[건],22~24시,49
차량단독,도로이탈,사망[명],00~02시,10
차량단독,도로이탈,사망[명],02~04시,6
차량단독,도로이탈,사망[명],04~06시,8
차량단독,도로이탈,사망[명],06~08시,5
차량단독,도로이탈,사망[명],08~10시,18
차량단독,도로이탈,사망[명],10~12시,12
차량단독,도로이탈,사망[명],12~14시,13
차량단독,도로이탈,사망[명],14~16시,19
차량단독,도로이탈,사망[명],16~18시,21
차량단독,도로이탈,사망[명],18~20시,17
차량단독,도로이탈,사망[명],20~22시,6
차량단독,도로이탈,사망[명],22~24시,9
차량단독,도로이탈,부상[명],00~02시,66
차량단독,도로이탈,부상[명],02~04시,52
차량단독,도로이탈,부상[명],04~06시,56
차량단독,도로이탈,부상[명],06~08시,41
차량단독,도로이탈,부상[명],08~10시,66
차량단독,도로이탈,부상[명],10~12시,99
차량단독,도로이탈,부상[명],12~14시,133
